spend_id,date,channel,campaign,utm_source,utm_medium,utm_campaign,impressions,clicks,ad_spend,country
1,2024-04-12,YouTube Ads,Campaign_XYZ,Organic Search,email,Product Launch,406926,10464,6840.21,UK
2,2025-03-11,Organic Search,Black Friday,Instagram Ads,social,Campaign_XYZ,462313,161,8577.8,Australia
3,2024-09-27,LinkedIn Ads,Brand Awareness,YouTube Ads,social,Brand Awareness,392386,3429,6765.49,Australia
4,2024-04-16,Google Ads,Campaign_XYZ,LinkedIn Ads,email,Retargeting,225300,3201,643.99,Germany
5,2024-03-12,LinkedIn Ads,,YouTube Ads,organic,Festive Offer,301951,7695,3573.63,Germany
6,2025-12-01,YouTube Ads,Brand Awareness,Organic Search,organic,Summer Sale,368848,18378,4328.51,Germany
7,2024-01-21,Google Ads,Brand Awareness,LinkedIn Ads,email,Brand Awareness,434852,18934,5509.13,USA
8,2025-09-06,Instagram Ads,,Google Ads,cpc,Summer Sale,294230,8654,2373.44,UK
9,2024-05-01,Google Ads,Festive Offer,Organic Search,email,Summer Sale,359235,12310,8823.61,UK
10,2025-04-11,Email,Festive Offer,Google Ads,email,Retargeting,449633,2701,2364.14,India
11,2024-08-02,Facebook Ads,Festive Offer,Google Ads,social,Festive Offer,298454,16358,6610.18,Germany
12,2024-11-26,Email,Brand Awareness,Organic Search,organic,Festive Offer,40488,9818,8778.41,Germany
13,2025-04-03,Organic Search,Product Launch,,organic,Campaign_XYZ,54172,3208,7354.85,USA
14,2024-03-28,Google Ads,Black Friday,Email,organic,Retargeting,477019,4127,1446.53,Germany
15,2025-01-07,Instagram Ads,Black Friday,Email,organic,Brand Awareness,264316,100,9518.8,Germany
16,2024-04-09,LinkedIn Ads,Festive Offer,YouTube Ads,email,Black Friday,387808,15535,1009.97,UK
17,2025-10-25,Google Ads,Black Friday,,social,Brand Awareness,302950,17603,2080.67,Germany
18,2024-05-10,Email,Product Launch,YouTube Ads,organic,Brand Awareness,88515,12692,1478.51,USA
19,2025-10-23,Google Ads,Festive Offer,LinkedIn Ads,organic,Black Friday,54826,14748,6702.48,USA
20,2024-11-04,Google Ads,Campaign_XYZ,YouTube Ads,social,Summer Sale,343365,5865,8093.36,Australia
21,2024-12-09,Google Ads,Campaign_XYZ,YouTube Ads,email,Product Launch,160616,16075,2456.36,Australia
22,2025-05-06,Instagram Ads,Product Launch,Google Ads,email,Black Friday,385570,7203,9794.56,India
23,2025-02-17,YouTube Ads,Black Friday,Organic Search,email,Product Launch,27738,6375,1478.51,USA
24,2025-01-20,YouTube Ads,Festive Offer,Email,organic,Summer Sale,437851,5981,3227.1,USA
