spend_id,date,channel,campaign,utm_source,utm_medium,utm_campaign,impressions,clicks,ad_spend,country,ctr,cpc
1,2024-04-12,YouTube Ads,Campaign_XYZ,Organic Search,email,Product Launch,406926,10464,6840.21,UK,0.025714749119004437,0.6536897935779816
2,2025-03-11,Organic Search,Black Friday,Instagram Ads,social,Campaign_XYZ,462313,161,8577.8,Australia,0.0003482489136148021,53.278260869565216
3,2024-09-27,LinkedIn Ads,Brand Awareness,YouTube Ads,social,Brand Awareness,392386,3429,6765.49,Australia,0.00873884389351302,1.973021289005541
4,2024-04-16,Google Ads,Campaign_XYZ,LinkedIn Ads,email,Retargeting,225300,3201,643.99,Germany,0.014207723035952064,0.201184004998438
5,2024-03-12,LinkedIn Ads,Unknown,YouTube Ads,organic,Festive Offer,301951,7695,3573.63,Germany,0.025484267314895462,0.4644093567251462
6,2025-12-01,YouTube Ads,Brand Awareness,Organic Search,organic,Summer Sale,368848,18378,4328.51,Germany,0.049825402333752655,0.23552671672652084
7,2024-01-21,Google Ads,Brand Awareness,LinkedIn Ads,email,Brand Awareness,434852,18934,5509.13,USA,0.043541250816369705,0.29096493081229535
8,2025-09-06,Instagram Ads,Unknown,Google Ads,cpc,Summer Sale,294230,8654,2373.44,UK,0.029412364476769873,0.27425930205685234
9,2024-05-01,Google Ads,Festive Offer,Organic Search,email,Summer Sale,359235,12310,8823.61,UK,0.03426726237699556,0.7167839155158409
10,2025-04-11,Email,Festive Offer,Google Ads,email,Retargeting,449633,2701,2364.14,India,0.006007121363423058,0.8752832284339133
11,2024-08-02,Facebook Ads,Festive Offer,Google Ads,social,Festive Offer,298454,16358,6610.18,Germany,0.05480911631273161,0.40409463259567185
12,2024-11-26,Email,Brand Awareness,Organic Search,organic,Festive Offer,40488,9818,8778.41,Germany,0.24249160245010867,0.89411387247912
13,2025-04-03,Organic Search,Product Launch,Unknown,organic,Campaign_XYZ,54172,3208,7354.85,USA,0.05921878461197667,2.2926589775561097
14,2024-03-28,Google Ads,Black Friday,Email,organic,Retargeting,477019,4127,1446.53,Germany,0.00865164699938577,0.3505039980615459
15,2025-01-07,Instagram Ads,Black Friday,Email,organic,Brand Awareness,264316,100,9518.8,Germany,0.0003783350232297704,95.18799999999999
16,2024-04-09,LinkedIn Ads,Festive Offer,YouTube Ads,email,Black Friday,387808,15535,1009.97,UK,0.04005848254806502,0.06501255230125523
17,2025-10-25,Google Ads,Black Friday,Unknown,social,Brand Awareness,302950,17603,2080.67,Germany,0.058105297903944544,0.11819973868090666
18,2024-05-10,Email,Product Launch,YouTube Ads,organic,Brand Awareness,88515,12692,1478.51,USA,0.14338812630627576,0.11649149070280491
19,2025-10-23,Google Ads,Festive Offer,LinkedIn Ads,organic,Black Friday,54826,14748,6702.48,USA,0.2689964615328494,0.45446704637917
20,2024-11-04,Google Ads,Campaign_XYZ,YouTube Ads,social,Summer Sale,343365,5865,8093.36,Australia,0.01708094884452405,1.379942028985507
21,2024-12-09,Google Ads,Campaign_XYZ,YouTube Ads,email,Product Launch,160616,16075,2456.36,Australia,0.10008342879912338,0.15280622083981338
22,2025-05-06,Instagram Ads,Product Launch,Google Ads,email,Black Friday,385570,7203,9794.56,India,0.01868143268407812,1.3597889768152158
23,2025-02-17,YouTube Ads,Black Friday,Organic Search,email,Product Launch,27738,6375,1478.51,USA,0.2298291152930997,0.23192313725490196
24,2025-01-20,YouTube Ads,Festive Offer,Email,organic,Summer Sale,437851,5981,3227.1,USA,0.013659898001831674,0.539558602240428
25,2024-07-10,Google Ads,Campaign_XYZ,Facebook Ads,organic,Black Friday,128212,16075,4954.06,UK,0.1253782797242068,0.3081841368584759
26,2024-10-03,Instagram Ads,Product Launch,Instagram Ads,organic,Retargeting,158742,17322,8107.59,Australia,0.10912045961371282,0.46805161066851403
27,2024-06-09,Instagram Ads,Retargeting,Unknown,email,Brand Awareness,377428,453,3827.77,India,0.0012002289178333352,8.449823399558499
28,2025-04-04,Organic Search,Campaign_XYZ,LinkedIn Ads,organic,Black Friday,60665,12851,1880.97,UK,0.21183548998598864,0.1463675978523072
29,2024-11-09,Google Ads,Retargeting,LinkedIn Ads,cpc,Black Friday,287832,8026,4702.87,UK,0.02788432140971122,0.5859543982058311
30,2024-01-22,Email,Product Launch,Instagram Ads,social,Summer Sale,187912,4035,4817.3,Australia,0.02147281706330623,1.1938785625774473
31,2024-09-09,Email,Product Launch,Facebook Ads,cpc,Retargeting,466294,16310,260.43,UK,0.034977932377427114,0.015967504598405888
32,2025-07-14,Facebook Ads,Summer Sale,Email,cpc,Black Friday,222975,6599,306.8,Australia,0.0295952461038233,0.04649189271101682
33,2025-04-19,Google Ads,Campaign_XYZ,YouTube Ads,organic,Retargeting,379147,5178,2848.62,USA,0.01365697209789343,0.5501390498261877
34,2024-02-28,Facebook Ads,Unknown,Email,social,Product Launch,159011,12851,7438.09,USA,0.08081830816735949,0.5787946463310248
35,2025-05-25,Email,Brand Awareness,LinkedIn Ads,cpc,Black Friday,53385,15647,3723.3,Australia,0.29309731197902034,0.2379561577299163
36,2025-11-12,Email,Campaign_XYZ,YouTube Ads,email,Retargeting,377882,19021,2190.92,Germany,0.050335819118137407,0.11518427001734925
37,2025-04-20,Google Ads,Festive Offer,Google Ads,email,Brand Awareness,344445,339,1218.45,Germany,0.0009841919609807081,3.5942477876106196
38,2025-11-30,Facebook Ads,Unknown,Email,email,Summer Sale,394359,18662,2877.17,India,0.047322363633136307,0.1541726503054335
39,2024-07-08,Facebook Ads,Brand Awareness,Google Ads,email,Festive Offer,53839,15724,4866.25,Germany,0.2920559445754936,0.3094791401678962
40,2025-11-17,Google Ads,Black Friday,Google Ads,social,Retargeting,72337,10555,1024.46,India,0.14591426241066122,0.09705921364282331
41,2025-07-16,Organic Search,Retargeting,Organic Search,email,Summer Sale,159223,12420,247.85,Australia,0.07800380598280399,0.01995571658615137
42,2025-07-20,Facebook Ads,Black Friday,Email,social,Festive Offer,350316,12078,1360.34,Australia,0.03447744322269037,0.11262957443285311
43,2024-08-31,Organic Search,Festive Offer,LinkedIn Ads,social,Black Friday,448986,14643,7406.0,Australia,0.03261348906201975,0.5057706754080448
44,2025-05-19,LinkedIn Ads,Product Launch,Instagram Ads,social,Black Friday,218477,9911,4716.47,India,0.04536404289696398,0.4758823529411765
45,2024-05-10,Email,Summer Sale,LinkedIn Ads,social,Product Launch,204945,10488,4507.16,UK,0.05117470540876821,0.429744469870328
46,2025-04-29,YouTube Ads,Festive Offer,Google Ads,organic,Summer Sale,418751,697,295.55,India,0.0016644736370778816,0.42403156384505025
47,2025-10-08,Organic Search,Product Launch,Google Ads,cpc,Brand Awareness,360965,19588,7138.35,UK,0.05426564902414362,0.36442464774351646
