conversion_id,user_id,lead_date,conversion_date,lead_stage,customer_journey,product,deal_value,country,city,conversion_status
C000001,2661,2025-11-05,2025-06-23,SQL,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,7166.92,UK,Sydney,Won
C000002,3689,2024-12-07,2024-03-24,SQL,Google Ads > Website > Email > Purchase,Pro Plan,2033.82,Australia,Berlin,Won
C000003,2727,2025-10-13,2024-01-24,Won,Instagram Ads > Website > Email > Purchase,Analytics Suite,32142.83,Germany,Sydney,Won
C000004,2426,2025-08-26,2025-12-30,Lost,Google Ads > Website > Email > Purchase,Enterprise Plan,49837.98,Australia,London,Won
C000005,3755,2024-08-06,2025-03-24,Lost,YouTube Ads > Website > Direct > Purchase,Analytics Suite,29635.7,India,Berlin,Won
C000006,4339,2025-03-27,2024-08-05,Opportunity,Instagram Ads > Website > Email > Purchase,Enterprise Plan,9550.45,Australia,Sydney,Lost
C000007,2148,2024-07-25,2025-10-20,MQL,Instagram Ads > Website > Email > Purchase,Enterprise Plan,33811.25,India,Sydney,Won
C000008,2770,2025-12-07,2025-02-24,SQL,YouTube Ads > Website > Direct > Purchase,Pro Plan,15579.0,USA,Bangalore,Lost
C000009,2893,2024-10-29,2024-10-01,Lead,Facebook Ads > Website > Direct > Purchase,Pro Plan,19366.16,USA,Bangalore,Won
C000010,2502,2024-03-24,2025-12-06,Won,Facebook Ads > Website > Direct > Purchase,Analytics Suite,44968.61,UK,New York,Lost
C000011,2341,2024-12-30,2025-03-06,Lost,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,48712.3,India,New York,Won
C000012,1067,2024-01-18,2024-03-27,MQL,Google Ads > Website > Email > Purchase,Analytics Suite,46379.26,Germany,,Won
C000013,1062,2024-07-17,2024-08-10,Won,YouTube Ads > Website > Direct > Purchase,Marketing Suite,677.72,Australia,Bangalore,Won
C000014,1997,2025-01-17,2025-11-21,MQL,Facebook Ads > Website > Direct > Purchase,,26523.97,Australia,London,Lost
C000015,1512,2024-07-23,2024-07-03,Opportunity,LinkedIn Ads > Demo > Purchase,Pro Plan,44660.62,India,Sydney,Lost
C000016,3449,2024-06-16,2025-03-03,MQL,Facebook Ads > Website > Direct > Purchase,Basic Plan,2936.49,Germany,Sydney,Won
C000017,3911,2024-03-06,2025-03-27,Lost,Facebook Ads > Website > Direct > Purchase,Pro Plan,30763.66,Germany,Berlin,Won
C000018,1571,2024-04-14,2024-08-15,Won,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,20540.27,India,Berlin,Won
C000019,2961,2025-03-14,2025-06-01,Lost,YouTube Ads > Website > Direct > Purchase,,5043.06,UK,Berlin,Lost
C000020,3075,2025-07-03,2025-10-12,MQL,Facebook Ads > Website > Direct > Purchase,Marketing Suite,1350.23,India,London,Won
C000021,3694,2024-04-03,2025-10-22,Lead,Instagram Ads > Website > Email > Purchase,Analytics Suite,38291.22,Germany,Sydney,Lost
C000022,4267,2024-03-23,2024-05-25,Won,Google Ads > Website > Email > Purchase,Enterprise Plan,31774.34,USA,Mumbai,Won
C000023,2775,2025-06-05,2025-03-26,Lost,Facebook Ads > Website > Direct > Purchase,Basic Plan,15597.19,India,London,Won
C000024,2581,2024-07-22,2024-01-11,SQL,LinkedIn Ads > Demo > Purchase,Basic Plan,19900.74,Australia,,Lost
C000025,3609,2025-10-05,2024-07-22,Lost,Instagram Ads > Website > Email > Purchase,Marketing Suite,12457.09,UK,,Lost
C000026,3498,2024-01-16,2024-06-22,MQL,Facebook Ads > Website > Direct > Purchase,Analytics Suite,10973.71,Australia,Mumbai,Won
C000027,2747,2025-01-23,2025-07-01,SQL,LinkedIn Ads > Demo > Purchase,Enterprise Plan,37795.04,India,Bangalore,Lost
C000028,1076,2025-03-28,2025-08-04,SQL,Google Ads > Website > Email > Purchase,Basic Plan,35872.12,Australia,Bangalore,Won
C000029,3861,2024-02-15,2025-05-01,Lost,Facebook Ads > Website > Direct > Purchase,Pro Plan,35224.15,Germany,Mumbai,Lost
C000030,3964,2025-03-23,2025-07-24,SQL,Instagram Ads > Website > Email > Purchase,Basic Plan,40357.8,India,Mumbai,Won
C000031,3516,2024-04-05,2024-08-22,Lead,Google Ads > Website > Email > Purchase,Marketing Suite,1059.11,UK,London,Lost
C000032,3025,2025-10-04,2025-02-24,Lead,YouTube Ads > Website > Direct > Purchase,Analytics Suite,1382.58,UK,Bangalore,Won
C000033,3613,2024-06-04,2025-08-30,SQL,Google Ads > Website > Email > Purchase,Analytics Suite,5065.09,Australia,Delhi,Won
C000034,2216,2025-08-11,2024-12-13,Opportunity,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,25996.02,India,London,Won
C000035,3008,2024-10-14,2025-06-01,Opportunity,Facebook Ads > Website > Direct > Purchase,Marketing Suite,34409.95,USA,Bangalore,Won
C000036,2254,2024-04-26,2025-09-07,Opportunity,LinkedIn Ads > Demo > Purchase,Enterprise Plan,44806.4,Australia,Sydney,Won
C000037,3222,2024-11-07,2024-09-25,Lost,Instagram Ads > Website > Email > Purchase,Marketing Suite,13277.57,Australia,Bangalore,Won
C000038,1407,2024-03-18,2024-03-17,MQL,LinkedIn Ads > Demo > Purchase,Marketing Suite,24720.43,Germany,Bangalore,Won
C000039,4477,2025-12-01,2024-08-16,MQL,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,46026.25,India,Berlin,Won
C000040,3162,2024-01-17,2024-04-02,MQL,Instagram Ads > Website > Email > Purchase,Enterprise Plan,23277.18,USA,Delhi,Lost
C000041,3127,2025-01-10,2025-12-12,Lead,Instagram Ads > Website > Email > Purchase,Analytics Suite,42477.55,Australia,Delhi,Lost
C000042,1313,2025-03-24,2025-08-13,Won,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,36032.92,India,New York,Won
C000043,3577,2025-11-05,2024-02-01,Lead,Facebook Ads > Website > Direct > Purchase,Basic Plan,22110.18,UK,Berlin,Won
C000044,2620,2025-05-27,2025-11-05,Lost,Facebook Ads > Website > Direct > Purchase,,27439.61,USA,Berlin,Won
C000045,1592,2024-11-19,2024-09-19,Won,Google Ads > Website > Email > Purchase,,24816.38,UK,Bangalore,Won
C000046,3521,2025-09-27,2024-04-17,Won,YouTube Ads > Website > Direct > Purchase,Basic Plan,24157.72,India,Mumbai,Won
C000047,1120,2025-05-06,2025-06-04,Lead,YouTube Ads > Website > Direct > Purchase,Basic Plan,38483.56,India,Bangalore,Won
C000048,2100,2024-04-09,2025-04-14,SQL,Instagram Ads > Website > Email > Purchase,Enterprise Plan,43343.19,Germany,New York,Won
C000049,2856,2025-05-02,2025-11-10,Opportunity,Instagram Ads > Website > Email > Purchase,Basic Plan,15667.88,USA,,Won
C000050,1040,2024-06-05,2024-08-06,Lead,LinkedIn Ads > Demo > Purchase,Enterprise Plan,25884.76,USA,Bangalore,Won
C000051,3521,2025-12-23,2025-10-31,Lead,Facebook Ads > Website > Direct > Purchase,Analytics Suite,39472.59,UK,Bangalore,Won
C000052,1184,2024-02-16,2024-11-26,Lost,Facebook Ads > Website > Direct > Purchase,Marketing Suite,19770.17,UK,Mumbai,Lost
C000053,2625,2025-10-21,2024-01-22,SQL,Facebook Ads > Website > Direct > Purchase,Analytics Suite,2376.48,USA,Sydney,Won
C000054,1941,2024-12-13,2024-09-10,SQL,YouTube Ads > Website > Direct > Purchase,,49871.0,USA,,Lost
C000055,3551,2024-06-27,2025-04-09,SQL,YouTube Ads > Website > Direct > Purchase,Pro Plan,39332.11,Germany,New York,Won
C000056,2039,2025-04-26,2024-08-20,Lead,Instagram Ads > Website > Email > Purchase,Enterprise Plan,24657.32,USA,Delhi,Won
C000057,2777,2025-04-21,2024-02-26,Opportunity,LinkedIn Ads > Demo > Purchase,Basic Plan,17499.99,India,,Lost
C000058,4412,2025-05-11,2025-03-25,Lead,Instagram Ads > Website > Email > Purchase,Basic Plan,49816.84,India,London,Won
C000059,1918,2024-10-31,2025-09-14,Lead,Instagram Ads > Website > Email > Purchase,Pro Plan,19776.68,Germany,Mumbai,Lost
C000060,2799,2025-10-13,2025-07-16,Won,Facebook Ads > Website > Direct > Purchase,Basic Plan,45533.61,UK,Delhi,Lost
C000061,2021,2025-12-20,2025-07-29,Lost,YouTube Ads > Website > Direct > Purchase,Pro Plan,38086.4,UK,New York,Lost
C000062,1302,2024-08-08,2024-11-01,Opportunity,Facebook Ads > Website > Direct > Purchase,Basic Plan,29219.48,Australia,Delhi,Won
C000063,1755,2025-10-12,2024-02-15,Won,YouTube Ads > Website > Direct > Purchase,Analytics Suite,38761.68,Germany,Delhi,Won
C000064,1018,2024-10-05,2024-12-27,Opportunity,Instagram Ads > Website > Email > Purchase,Pro Plan,2685.95,Germany,Berlin,Won
C000065,3342,2024-04-04,2024-06-10,MQL,LinkedIn Ads > Demo > Purchase,Marketing Suite,40978.77,India,,Lost
C000066,3261,2025-06-30,2024-04-22,MQL,Instagram Ads > Website > Email > Purchase,Enterprise Plan,5896.37,India,Berlin,Lost
C000067,4496,2024-04-10,2024-11-11,MQL,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,35615.1,Australia,London,Won
C000068,3634,2025-04-21,2024-10-12,Lead,Instagram Ads > Website > Email > Purchase,,2721.1,Australia,New York,Lost
C000069,3578,2024-12-02,2025-09-30,MQL,Google Ads > Website > Email > Purchase,Marketing Suite,31841.45,India,Bangalore,Won
C000070,3684,2025-03-13,2024-07-07,MQL,Google Ads > Website > Email > Purchase,Basic Plan,17640.86,India,Berlin,Won
C000071,2072,2025-11-23,2024-09-10,Opportunity,Facebook Ads > Website > Direct > Purchase,Enterprise Plan,34168.83,USA,Berlin,Won
