session_id,user_id,session_date,traffic_source,utm_source,utm_medium,utm_campaign,device,city,country,pages_viewed,session_duration_sec,bounce_flag
S000001,1399,2024-12-15,Instagram Ads,Facebook Ads,organic,Festive Offer,Mobile,Delhi,Germany,15,3410,0
S000002,4352,2024-04-09,Organic Search,Organic Search,email,Brand Awareness,Desktop,Bangalore,Australia,18,1206,1
S000003,2935,2024-10-13,YouTube Ads,LinkedIn Ads,email,Retargeting,Desktop,Berlin,UK,4,3224,0
S000004,2272,2024-09-25,Google Ads,LinkedIn Ads,cpc,Summer Sale,Desktop,Bangalore,UK,10,2930,0
S000005,3390,2024-12-14,YouTube Ads,Google Ads,organic,Brand Awareness,Desktop,Mumbai,UK,2,1540,0
S000006,2293,2025-05-11,Email,Instagram Ads,email,Retargeting,Desktop,London,Australia,5,600,0
S000007,3855,2024-02-25,LinkedIn Ads,Organic Search,cpc,Summer Sale,Mobile,London,USA,6,404,0
S000008,2288,2024-10-28,Facebook Ads,Organic Search,social,Campaign_XYZ,Desktop,Delhi,Germany,23,3199,1
S000009,1039,2025-08-14,YouTube Ads,YouTube Ads,email,Summer Sale,Mobile,Berlin,Australia,20,389,1
S000010,2374,2025-05-14,LinkedIn Ads,Facebook Ads,cpc,Brand Awareness,Mobile,Unknown,India,3,2931,1
S000011,4441,2025-04-04,Instagram Ads,Organic Search,organic,Black Friday,Desktop,London,Australia,9,2937,1
S000012,2862,2024-07-07,Google Ads,Google Ads,organic,Retargeting,Tablet,London,Australia,2,3587,0
S000013,3425,2024-12-27,Email,Instagram Ads,email,Product Launch,Desktop,New York,Germany,22,2277,0
S000014,3604,2024-07-14,YouTube Ads,Facebook Ads,cpc,Black Friday,Mobile,Delhi,USA,3,647,0
S000015,4072,2025-10-06,Google Ads,Facebook Ads,organic,Summer Sale,Mobile,Delhi,USA,12,557,0
S000016,1980,2025-06-12,Email,YouTube Ads,cpc,Campaign_XYZ,Mobile,London,USA,2,936,1
S000017,1412,2024-05-27,Organic Search,YouTube Ads,organic,Campaign_XYZ,Mobile,Unknown,USA,3,185,1
S000018,2671,2025-11-10,LinkedIn Ads,Instagram Ads,organic,Product Launch,Desktop,London,Germany,9,1319,0
S000019,3248,2024-04-02,Organic Search,Organic Search,social,Black Friday,Tablet,Berlin,India,5,2773,1
S000020,1697,2025-04-17,Email,YouTube Ads,organic,Summer Sale,Tablet,Unknown,Australia,11,81,0
S000021,2042,2025-08-16,Email,Organic Search,email,Product Launch,Tablet,Bangalore,UK,19,2807,0
S000022,3530,2025-02-09,YouTube Ads,Google Ads,email,Campaign_XYZ,Mobile,Delhi,USA,5,1403,0
S000023,3679,2025-11-10,Instagram Ads,LinkedIn Ads,cpc,Product Launch,Mobile,Bangalore,Germany,21,2928,1
S000024,2562,2025-04-02,Instagram Ads,Google Ads,organic,Festive Offer,Tablet,Berlin,Australia,6,2030,0
S000025,2748,2024-07-27,Email,Email,social,Summer Sale,Desktop,London,USA,9,1781,0
S000026,3006,2025-07-11,Instagram Ads,Google Ads,email,Brand Awareness,Desktop,London,USA,5,58,0
S000027,2229,2025-01-02,Facebook Ads,Facebook Ads,email,Summer Sale,Mobile,Delhi,Australia,17,1621,0
S000028,3251,2025-03-17,Instagram Ads,Organic Search,cpc,Retargeting,Mobile,Berlin,Germany,19,1743,0
S000029,3683,2024-07-30,Organic Search,Instagram Ads,email,Summer Sale,Mobile,New York,USA,9,907,0
S000030,1437,2025-05-28,Facebook Ads,Instagram Ads,social,Retargeting,Mobile,Sydney,India,24,755,0
S000031,3104,2025-07-17,YouTube Ads,Facebook Ads,organic,Product Launch,Desktop,New York,Australia,13,2764,0
S000032,4254,2024-10-11,YouTube Ads,Google Ads,email,Summer Sale,Desktop,Unknown,Australia,6,1722,0
S000033,2284,2024-01-06,LinkedIn Ads,Google Ads,email,Black Friday,Mobile,Sydney,Germany,20,360,0
S000034,3786,2024-05-27,LinkedIn Ads,LinkedIn Ads,cpc,Summer Sale,Mobile,Sydney,Germany,16,854,1
S000035,1984,2025-04-11,Organic Search,LinkedIn Ads,cpc,Brand Awareness,Mobile,Delhi,USA,1,3084,1
S000036,3141,2025-09-15,Google Ads,Instagram Ads,social,Campaign_XYZ,Mobile,Bangalore,Australia,17,3135,0
S000037,1937,2025-10-19,Organic Search,Google Ads,email,Summer Sale,Mobile,Sydney,Australia,14,1824,0
S000038,2866,2025-09-06,YouTube Ads,Email,cpc,Campaign_XYZ,Desktop,Berlin,Australia,20,2476,0
S000039,2991,2024-01-22,Google Ads,LinkedIn Ads,organic,Summer Sale,Mobile,Berlin,Australia,7,1689,0
S000040,3149,2025-03-10,Organic Search,Organic Search,organic,Product Launch,Mobile,Sydney,Germany,20,3442,0
S000041,4227,2024-01-14,LinkedIn Ads,Facebook Ads,social,Festive Offer,Mobile,New York,Germany,24,2845,1
S000042,2931,2025-01-11,Google Ads,Google Ads,social,Brand Awareness,Mobile,Mumbai,Germany,16,1248,0
S000043,3220,2025-06-01,LinkedIn Ads,Email,email,Summer Sale,Desktop,Bangalore,Australia,7,892,1
S000044,3654,2024-10-03,Facebook Ads,YouTube Ads,social,Black Friday,Mobile,Berlin,Australia,21,266,0
S000045,2876,2025-02-09,LinkedIn Ads,LinkedIn Ads,organic,Product Launch,Desktop,Mumbai,Australia,23,2367,0
S000046,3511,2025-12-10,YouTube Ads,Facebook Ads,email,Retargeting,Mobile,Berlin,India,22,2909,0
S000047,3263,2025-09-22,Organic Search,Facebook Ads,organic,Brand Awareness,Mobile,Berlin,Germany,19,1967,1
S000048,3261,2024-06-30,YouTube Ads,Organic Search,cpc,Brand Awareness,Mobile,Mumbai,Germany,22,704,0
S000049,1185,2025-11-05,Facebook Ads,YouTube Ads,email,Festive Offer,Mobile,Unknown,UK,18,156,1
S000050,1780,2024-12-31,Facebook Ads,Organic Search,organic,Festive Offer,Mobile,Delhi,UK,21,1579,0
S000051,2288,2024-10-27,LinkedIn Ads,Organic Search,organic,Campaign_XYZ,Desktop,Sydney,Germany,7,2366,0
S000052,2772,2025-05-18,YouTube Ads,LinkedIn Ads,social,Product Launch,Tablet,New York,UK,14,2155,0
S000053,2902,2025-11-23,LinkedIn Ads,Organic Search,email,Retargeting,Tablet,New York,India,9,1912,0
S000054,2351,2024-11-05,Organic Search,Instagram Ads,cpc,Product Launch,Desktop,Sydney,USA,1,2545,0
S000055,1470,2024-07-03,LinkedIn Ads,Facebook Ads,cpc,Brand Awareness,Mobile,London,Germany,18,2249,0
S000056,1048,2025-08-07,Email,Google Ads,social,Product Launch,Mobile,Bangalore,Australia,8,140,1
S000057,4209,2024-03-20,Facebook Ads,Instagram Ads,cpc,Festive Offer,Tablet,Bangalore,India,19,2555,0
S000058,4176,2024-07-21,LinkedIn Ads,Email,organic,Product Launch,Mobile,Delhi,UK,12,1564,0
S000059,1631,2024-02-17,LinkedIn Ads,Facebook Ads,email,Product Launch,Mobile,New York,India,6,3207,0
S000060,1028,2025-04-13,Organic Search,Facebook Ads,email,Campaign_XYZ,Desktop,Delhi,India,18,2892,0
S000061,2328,2024-10-24,Facebook Ads,Organic Search,cpc,Brand Awareness,Mobile,Bangalore,Germany,9,819,0
S000062,1178,2024-10-05,Email,YouTube Ads,organic,Summer Sale,Mobile,London,India,9,250,1
S000063,2985,2024-06-30,Facebook Ads,LinkedIn Ads,social,Retargeting,Desktop,Delhi,India,5,1266,0
S000064,1839,2025-07-27,Instagram Ads,LinkedIn Ads,social,Festive Offer,Mobile,Unknown,UK,5,3340,0
S000065,2940,2025-11-28,LinkedIn Ads,Email,cpc,Brand Awareness,Desktop,Bangalore,India,16,430,0
S000066,2008,2025-12-24,Email,YouTube Ads,organic,Summer Sale,Tablet,New York,USA,2,2685,0
S000067,3016,2025-04-23,Instagram Ads,YouTube Ads,social,Retargeting,Mobile,Bangalore,USA,3,1733,1
S000068,3865,2025-03-07,Email,Email,email,Festive Offer,Mobile,Unknown,India,18,1088,1
S000069,2478,2025-11-02,Email,Organic Search,social,Product Launch,Desktop,Berlin,UK,5,969,1
S000070,3920,2025-01-26,Facebook Ads,Instagram Ads,social,Summer Sale,Mobile,New York,UK,3,3222,0
S000071,2240,2024-02-19,Organic Search,Instagram Ads,cpc,Black Friday,Mobile,London,Germany,1,274,0
S000072,4080,2025-01-27,Email,Email,cpc,Campaign_XYZ,Desktop,Bangalore,USA,10,2506,1
S000073,1554,2025-09-25,YouTube Ads,YouTube Ads,organic,Retargeting,Mobile,New York,Australia,9,1819,1
S000074,1677,2025-10-07,Instagram Ads,Instagram Ads,email,Summer Sale,Desktop,Berlin,Australia,21,3275,1
S000075,4418,2024-11-20,Organic Search,Google Ads,organic,Unknown,Desktop,Bangalore,USA,19,2296,1
S000076,2579,2025-03-04,Google Ads,Email,cpc,Campaign_XYZ,Mobile,Berlin,USA,19,2088,0
S000077,1699,2025-12-17,Google Ads,YouTube Ads,cpc,Product Launch,Mobile,Delhi,UK,5,264,0
S000078,1841,2024-06-01,Email,Email,social,Black Friday,Mobile,Sydney,USA,24,2922,0
S000079,1239,2024-12-16,Instagram Ads,LinkedIn Ads,organic,Festive Offer,Desktop,Sydney,UK,12,1857,0
S000080,1921,2025-07-22,Organic Search,LinkedIn Ads,email,Summer Sale,Mobile,Berlin,UK,15,1182,1
S000081,3813,2024-06-02,Google Ads,YouTube Ads,social,Brand Awareness,Desktop,Delhi,Australia,2,1933,1
S000082,3522,2024-12-05,YouTube Ads,LinkedIn Ads,social,Campaign_XYZ,Tablet,New York,Germany,5,151,0
S000083,2109,2025-09-17,LinkedIn Ads,Facebook Ads,organic,Campaign_XYZ,Mobile,Berlin,USA,23,2945,0
S000084,1183,2024-01-06,YouTube Ads,Google Ads,cpc,Unknown,Tablet,New York,Germany,23,826,0
S000085,2709,2025-08-30,Google Ads,Facebook Ads,organic,Retargeting,Desktop,London,India,9,941,1
S000086,1752,2025-04-25,Email,YouTube Ads,cpc,Summer Sale,Mobile,Sydney,Australia,1,2033,0
S000087,4475,2025-07-24,LinkedIn Ads,LinkedIn Ads,social,Product Launch,Mobile,Bangalore,USA,19,1075,0
S000088,3265,2025-04-12,Google Ads,Organic Search,email,Festive Offer,Mobile,Berlin,USA,14,963,0
S000089,2316,2024-11-11,Instagram Ads,Email,email,Unknown,Desktop,London,Germany,1,523,0
S000090,1419,2024-01-11,YouTube Ads,Instagram Ads,cpc,Summer Sale,Desktop,Sydney,India,7,2163,0
S000091,2500,2025-07-12,LinkedIn Ads,Facebook Ads,email,Product Launch,Mobile,Berlin,UK,20,549,0
S000092,2653,2024-09-22,Facebook Ads,Facebook Ads,organic,Retargeting,Desktop,Bangalore,Germany,20,313,1
S000093,3252,2025-11-09,Organic Search,LinkedIn Ads,cpc,Product Launch,Tablet,Mumbai,Australia,22,2384,0
S000094,3762,2025-04-11,YouTube Ads,Instagram Ads,social,Summer Sale,Mobile,London,India,15,1097,1
S000095,2962,2025-02-14,Facebook Ads,YouTube Ads,email,Summer Sale,Desktop,New York,Germany,18,2528,0
S000096,1375,2025-04-26,Instagram Ads,LinkedIn Ads,cpc,Brand Awareness,Desktop,Berlin,USA,19,1009,0
S000097,2911,2025-01-10,Email,Google Ads,email,Product Launch,Mobile,Delhi,Germany,8,1272,0
S000098,1820,2024-05-27,Google Ads,Google Ads,cpc,Retargeting,Mobile,Unknown,Australia,9,3534,0
S000099,2719,2024-02-15,Organic Search,YouTube Ads,email,Retargeting,Desktop,Bangalore,Australia,16,782,0
S000100,1194,2024-03-09,Instagram Ads,YouTube Ads,email,Brand Awareness,Desktop,London,Australia,1,158,0
S000101,3411,2025-08-08,Organic Search,Google Ads,organic,Black Friday,Desktop,Sydney,Germany,2,33,0
S000102,1546,2024-03-03,Facebook Ads,Organic Search,cpc,Festive Offer,Mobile,Bangalore,Australia,21,2484,1
S000103,1384,2024-06-08,LinkedIn Ads,Email,social,Brand Awareness,Desktop,Berlin,UK,3,16,0
S000104,2705,2024-06-16,Instagram Ads,Email,cpc,Retargeting,Mobile,London,Australia,16,757,0
S000105,1960,2025-11-10,Google Ads,Instagram Ads,organic,Product Launch,Desktop,New York,India,20,1573,0
S000106,1992,2024-04-01,LinkedIn Ads,YouTube Ads,social,Brand Awareness,Mobile,Sydney,USA,1,1475,0
S000107,3073,2024-10-04,LinkedIn Ads,Google Ads,organic,Product Launch,Mobile,Unknown,Germany,7,3088,1
S000108,1623,2024-11-17,Google Ads,Instagram Ads,cpc,Black Friday,Desktop,Mumbai,Germany,12,364,0
S000109,2367,2025-12-17,LinkedIn Ads,Email,social,Retargeting,Tablet,London,Australia,20,1351,1
S000110,3658,2024-10-17,Email,Instagram Ads,social,Black Friday,Desktop,Berlin,Germany,11,1893,0
S000111,3236,2024-01-27,Email,YouTube Ads,cpc,Product Launch,Mobile,Berlin,Germany,13,1140,0
S000112,2660,2025-03-22,Organic Search,Facebook Ads,social,Unknown,Mobile,Bangalore,India,19,3503,0
S000113,1359,2025-01-11,YouTube Ads,Instagram Ads,social,Black Friday,Desktop,London,Germany,13,1166,0
S000114,2402,2025-10-31,LinkedIn Ads,YouTube Ads,organic,Summer Sale,Desktop,Sydney,USA,8,828,0
S000115,1172,2024-01-29,Organic Search,Instagram Ads,cpc,Product Launch,Desktop,London,Germany,7,3136,0
S000116,3639,2024-06-11,Facebook Ads,Organic Search,social,Brand Awareness,Desktop,Sydney,India,15,1898,1
S000117,1750,2024-02-06,YouTube Ads,Organic Search,social,Festive Offer,Mobile,Bangalore,UK,2,1636,0
S000118,1617,2025-05-25,Instagram Ads,LinkedIn Ads,social,Campaign_XYZ,Tablet,London,UK,1,1996,0
S000119,4440,2025-10-27,LinkedIn Ads,Organic Search,cpc,Unknown,Mobile,Delhi,Germany,10,1957,1
S000120,1098,2024-01-04,Google Ads,Instagram Ads,organic,Brand Awareness,Mobile,Mumbai,India,18,3050,0
S000121,2101,2025-09-02,YouTube Ads,Facebook Ads,organic,Festive Offer,Desktop,New York,UK,4,137,0
S000122,3976,2025-01-03,LinkedIn Ads,Email,cpc,Unknown,Desktop,Berlin,India,9,3246,0
S000123,4257,2025-11-30,Facebook Ads,Instagram Ads,social,Campaign_XYZ,Desktop,Mumbai,UK,24,3132,1
S000124,3440,2024-09-04,Organic Search,Facebook Ads,social,Retargeting,Mobile,London,India,23,1701,1
S000125,3169,2025-06-05,Email,Google Ads,organic,Festive Offer,Tablet,Sydney,Germany,8,237,0
S000126,1713,2025-06-25,LinkedIn Ads,Organic Search,organic,Summer Sale,Desktop,London,UK,3,1691,0
S000127,3238,2025-08-09,LinkedIn Ads,Facebook Ads,email,Black Friday,Desktop,Mumbai,Australia,4,1658,0
S000128,1436,2025-10-17,YouTube Ads,Instagram Ads,email,Product Launch,Desktop,Berlin,Germany,11,1254,0
