user_id,first_touch_channel,conversion_id,lead_date,conversion_date,lead_stage,customer_journey,product,deal_value,country,city,conversion_status
1000,Facebook Ads,C001962,2024-05-27,2025-02-26,Lost,Instagram Ads > Website > Email > Purchase,Pro Plan,18327.73,Australia,Berlin,Won
1000,Facebook Ads,C004837,2024-01-01,2024-09-06,Opportunity,Instagram Ads > Website > Email > Purchase,Enterprise Plan,16180.06,India,Berlin,Won
1000,Facebook Ads,C009984,2025-07-07,2024-04-16,Lead,YouTube Ads > Website > Direct > Purchase,Analytics Suite,26924.9,Australia,Berlin,Won
1001,Google Ads,C000886,2025-01-13,2025-08-05,Lost,LinkedIn Ads > Demo > Purchase,Marketing Suite,13793.37,India,Delhi,Lost
1002,Organic Search,C000590,2025-10-16,2025-09-18,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,32419.79,USA,New York,Lost
1002,Organic Search,C006493,2024-11-23,2025-12-05,Lead,Facebook Ads > Website > Direct > Purchase,Marketing Suite,17107.37,USA,Berlin,Lost
1003,YouTube Ads,C000877,2024-08-19,2025-05-17,Lead,Google Ads > Website > Email > Purchase,Basic Plan,25603.49,Germany,Mumbai,Won
1003,YouTube Ads,C001923,2025-04-10,2025-02-14,Lead,LinkedIn Ads > Demo > Purchase,,30712.06,Australia,Berlin,Won
1003,YouTube Ads,C003174,2025-01-24,2025-01-13,Won,Google Ads > Website > Email > Purchase,Enterprise Plan,5728.8,UK,Sydney,Won
1005,Organic Search,C004596,2025-04-03,2025-12-08,Opportunity,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,822.81,UK,Sydney,Won
1005,Organic Search,C007877,2025-01-18,2024-02-17,Opportunity,YouTube Ads > Website > Direct > Purchase,Marketing Suite,33086.77,Australia,Bangalore,Won
1006,Facebook Ads,C002830,2025-03-24,2025-05-25,Won,YouTube Ads > Website > Direct > Purchase,Marketing Suite,1271.74,UK,Bangalore,Won
1006,Facebook Ads,C008942,2024-05-03,2025-07-21,SQL,Google Ads > Website > Email > Purchase,Pro Plan,19125.96,India,Sydney,Won
1007,Facebook Ads,C001158,2025-03-16,2025-08-12,Opportunity,Instagram Ads > Website > Email > Purchase,Enterprise Plan,29217.38,USA,Delhi,Won
1007,Facebook Ads,C003474,2025-09-19,2024-04-13,SQL,Facebook Ads > Website > Direct > Purchase,Marketing Suite,37390.41,UK,,Won
1007,Facebook Ads,C007595,2024-09-24,2025-06-21,SQL,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,42821.76,Australia,London,Won
1007,Facebook Ads,C008567,2025-05-04,2024-02-06,Opportunity,Facebook Ads > Website > Direct > Purchase,Analytics Suite,14952.89,Germany,Mumbai,Won
1008,Facebook Ads,C000771,2024-09-13,2024-10-16,Lead,YouTube Ads > Website > Direct > Purchase,Marketing Suite,10064.09,USA,London,Won
1008,Facebook Ads,C001509,2025-11-23,2025-10-24,SQL,YouTube Ads > Website > Direct > Purchase,Basic Plan,17831.59,Germany,Berlin,Lost
1008,Facebook Ads,C003573,2024-01-16,2024-06-10,SQL,Instagram Ads > Website > Email > Purchase,Pro Plan,26576.12,Germany,Bangalore,Won
1008,Facebook Ads,C004814,2025-04-28,2024-08-01,Opportunity,Facebook Ads > Website > Direct > Purchase,,30917.78,UK,Sydney,Won
1009,Google Ads,C001366,2024-12-13,2025-09-25,Lost,Facebook Ads > Website > Direct > Purchase,Basic Plan,26253.51,India,Delhi,Won
1009,Google Ads,C005945,2024-02-27,2025-01-21,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,49695.94,Australia,Bangalore,Won
1009,Google Ads,C007379,2025-12-27,2025-08-03,MQL,YouTube Ads > Website > Direct > Purchase,Enterprise Plan,28666.04,UK,New York,Lost
1010,Email,C003598,2024-01-25,2024-10-27,Lead,Instagram Ads > Website > Email > Purchase,Basic Plan,26444.79,India,Delhi,Won
1010,Email,C003756,2025-10-09,2024-06-26,Won,Facebook Ads > Website > Direct > Purchase,Marketing Suite,476.93,Germany,,Won
1010,Email,C007396,2025-08-26,2025-09-27,Lead,Facebook Ads > Website > Direct > Purchase,Marketing Suite,36719.1,USA,Bangalore,Won
1011,Instagram Ads,C000119,2025-10-07,2025-04-05,Lost,YouTube Ads > Website > Direct > Purchase,,33557.48,Australia,Bangalore,Lost
1011,Instagram Ads,C000410,2024-01-01,2024-09-16,Lost,Facebook Ads > Website > Direct > Purchase,Marketing Suite,41593.02,India,Delhi,Won
1011,Instagram Ads,C002975,2025-02-06,2024-11-22,Lead,YouTube Ads > Website > Direct > Purchase,Marketing Suite,26591.75,USA,Berlin,Won
1011,Instagram Ads,C007107,2025-02-08,2024-06-19,Won,YouTube Ads > Website > Direct > Purchase,Pro Plan,42203.1,Germany,Mumbai,Lost
1012,Email,C003425,2024-01-19,2024-03-04,Lost,Instagram Ads > Website > Email > Purchase,Enterprise Plan,40341.58,India,Delhi,Lost
1012,Email,C006270,2024-12-03,2024-03-18,Opportunity,YouTube Ads > Website > Direct > Purchase,Marketing Suite,14051.0,UK,Berlin,Won
1012,Email,C009389,2024-07-10,2024-04-08,Won,Google Ads > Website > Email > Purchase,Basic Plan,18362.01,USA,Delhi,Lost
