user_id,product,country,deal_value,traffic_source,attribution_weight,attributed_revenue
2661,Enterprise Plan,UK,7166.92,Email,0.2,1433.384
2661,Enterprise Plan,UK,7166.92,Facebook Ads,0.2,1433.384
2661,Enterprise Plan,UK,7166.92,Google Ads,0.2,1433.384
2661,Enterprise Plan,UK,7166.92,Instagram Ads,0.2,1433.384
2661,Enterprise Plan,UK,7166.92,Organic Search,0.2,1433.384
2727,Analytics Suite,Germany,32142.83,Email,0.2,6428.566000000001
2727,Analytics Suite,Germany,32142.83,Facebook Ads,0.2,6428.566000000001
2727,Analytics Suite,Germany,32142.83,Organic Search,0.4,12857.132000000001
2727,Analytics Suite,Germany,32142.83,YouTube Ads,0.2,6428.566000000001
2426,Enterprise Plan,Australia,49837.98,Facebook Ads,0.5,24918.99
2426,Enterprise Plan,Australia,49837.98,Instagram Ads,0.5,24918.99
4339,Enterprise Plan,Australia,9550.45,Google Ads,0.5,4775.225
4339,Enterprise Plan,Australia,9550.45,YouTube Ads,0.5,4775.225
2148,Enterprise Plan,India,33811.25,Instagram Ads,0.3333333333333333,11270.416666666666
2148,Enterprise Plan,India,33811.25,Organic Search,0.3333333333333333,11270.416666666666
2148,Enterprise Plan,India,33811.25,YouTube Ads,0.3333333333333333,11270.416666666666
2770,Pro Plan,USA,15579.0,Facebook Ads,0.25,3894.75
2770,Pro Plan,USA,15579.0,Google Ads,0.25,3894.75
2770,Pro Plan,USA,15579.0,LinkedIn Ads,0.25,3894.75
2770,Pro Plan,USA,15579.0,YouTube Ads,0.25,3894.75
2893,Pro Plan,USA,19366.16,Email,0.25,4841.54
2893,Pro Plan,USA,19366.16,Instagram Ads,0.25,4841.54
2893,Pro Plan,USA,19366.16,Organic Search,0.5,9683.08
2502,Analytics Suite,UK,44968.61,Facebook Ads,1.0,44968.61
2341,Enterprise Plan,India,48712.3,Facebook Ads,0.25,12178.075
2341,Enterprise Plan,India,48712.3,Google Ads,0.25,12178.075
2341,Enterprise Plan,India,48712.3,Organic Search,0.25,12178.075
2341,Enterprise Plan,India,48712.3,YouTube Ads,0.25,12178.075
1067,Analytics Suite,Germany,46379.26,Email,0.5,23189.63
1067,Analytics Suite,Germany,46379.26,Facebook Ads,0.25,11594.815
1067,Analytics Suite,Germany,46379.26,Google Ads,0.25,11594.815
1062,Marketing Suite,Australia,677.72,Google Ads,0.25,169.43
1062,Marketing Suite,Australia,677.72,Instagram Ads,0.25,169.43
1062,Marketing Suite,Australia,677.72,LinkedIn Ads,0.25,169.43
1062,Marketing Suite,Australia,677.72,Organic Search,0.25,169.43
1997,,Australia,26523.97,YouTube Ads,1.0,26523.97
1512,Pro Plan,India,44660.62,Email,0.6666666666666666,29773.746666666666
1512,Pro Plan,India,44660.62,Instagram Ads,0.3333333333333333,14886.873333333333
3449,Basic Plan,Germany,2936.49,Email,0.3333333333333333,978.8299999999999
3449,Basic Plan,Germany,2936.49,Google Ads,0.6666666666666666,1957.6599999999999
3911,Pro Plan,Germany,30763.66,Google Ads,0.3333333333333333,10254.553333333333
3911,Pro Plan,Germany,30763.66,Instagram Ads,0.3333333333333333,10254.553333333333
